Wall time,Step,Value
1666034525.1374574,244,20.0
1666034598.317616,465,22.0
1666034661.618634,658,146.0
1666034810.2012928,1132,113.0
1666035069.9425905,1940,22.0
1666035076.1303415,1960,22.0
1666035320.4616907,2693,22.0
1666035327.0357716,2717,20.0
1666035502.4069455,3265,22.0
1666035774.2055447,4121,68.0
1666035790.8211246,4181,22.0
1666036134.3434231,5262,70.0
1666036142.3398225,5295,22.0
1666036161.5006244,5362,22.0
1666036194.5502825,5454,48.0
1666036307.229002,5832,22.0
1666036317.7223818,5866,22.0
1666036351.3377035,5981,22.0
1666036356.2590518,5997,71.0
1666036372.6321912,6053,50.0
1666036444.9234576,6279,20.0
1666036461.2141287,6334,22.0
1666036586.5064108,6730,22.0
1666036622.228507,6850,22.0
1666036666.7148983,6991,118.0
1666036812.5019448,7436,22.0
1666036826.0994263,7464,71.0
1666036903.951378,7644,48.0
1666036937.8455496,7730,49.0
1666037134.6549504,8291,22.0
1666037223.2294815,8548,22.0
1666037225.725892,8554,97.0
1666037269.0280652,8694,20.0
1666037287.3132186,8752,22.0
1666037423.8015487,9152,22.0
1666037457.83409,9252,22.0
1666037468.540855,9291,22.0
1666037480.3481848,9327,50.0
1666037600.9169586,9712,22.0
1666037613.0077147,9753,20.0
1666037642.1309316,9837,68.0
1666037658.6228244,9894,22.0
1666037667.254321,9917,49.0
1666037677.958012,9949,118.0
1666037687.3269691,9979,22.0
1666037717.8977787,10063,22.0
1666037734.30431,10121,22.0
1666037757.9320903,10191,22.0
1666037832.9575403,10445,70.0
1666037851.5169518,10518,20.0
1666037887.738954,10645,22.0
1666038015.9161372,11023,49.0
1666038053.199535,11118,22.0
1666038275.1660764,11819,97.0
1666038289.0099833,11867,22.0
1666038338.291894,12027,22.0
1666038352.5309103,12076,50.0
1666038437.1409209,12354,22.0
1666038472.0523908,12476,22.0
1666038606.8069828,12905,20.0
1666038737.9136624,13304,22.0
1666038760.7419288,13388,22.0
1666038802.4630277,13522,22.0
1666038843.050685,13642,20.0
1666038893.878024,13802,22.0
1666038907.549458,13849,20.0
1666038955.0362961,13971,22.0
1666039193.646042,14645,22.0
1666039260.6673396,14851,22.0
1666039327.7291808,15065,22.0
1666039435.026143,15371,22.0
1666039520.8622074,15610,22.0
1666039753.540285,16241,68.0
1666039966.4709911,16866,22.0
1666039972.0719879,16883,71.0
1666039979.132778,16907,52.0
1666039993.1506944,16947,22.0
1666040412.3613548,18121,22.0
1666040414.6160762,18129,20.0
1666040416.7978954,18137,22.0
1666040545.692186,18481,68.0
1666040642.3335967,18759,22.0
1666040644.4510865,18765,22.0
1666040656.1039994,18795,20.0
1666040795.403262,19209,22.0
1666040829.8341358,19319,22.0
1666040849.5965254,19377,22.0
1666040890.3019824,19501,97.0
1666040908.5690084,19546,22.0
1666040932.5075607,19617,48.0
1666041291.2189226,20618,22.0
1666041301.3592057,20646,22.0
1666041372.9138114,20841,22.0
1666041416.0105598,20968,20.0
1666041439.4239752,21036,22.0
1666041517.3482842,21267,22.0
1666041817.1560578,22162,22.0
1666041993.2105155,22702,20.0
1666042252.743593,23500,71.0
1666042596.0604777,24469,22.0
1666042686.947363,24758,22.0
1666042713.2340877,24828,22.0
1666042746.6468148,24938,20.0
1666042764.3512132,24991,22.0
1666042911.4498162,25444,22.0
1666042986.7039583,25649,20.0
1666043081.8032503,25929,22.0
1666043328.4120467,26646,22.0
1666043554.512486,27308,22.0
1666043735.7498467,27833,22.0
1666043757.3960245,27894,22.0
1666043798.1242092,28006,97.0
1666043831.435874,28102,22.0
1666044078.7012942,28794,22.0
1666044258.8006175,29310,22.0
1666044328.5391526,29490,22.0
1666044354.3578157,29565,22.0
1666044379.7141547,29636,50.0
1666044396.8375337,29677,22.0
1666044460.0865061,29831,22.0
1666044539.0518603,30055,71.0
1666044548.4391992,30080,74.0
1666044626.3252702,30300,22.0
1666044858.6249404,30959,22.0
1666044860.89703,30967,22.0
1666045023.5528414,31376,97.0
1666045038.0061562,31410,73.0
1666045128.0023735,31660,50.0
1666045236.5534496,31953,22.0
1666045246.3717384,31976,22.0
1666045262.3373256,32014,73.0
1666045556.1586447,32811,22.0
1666045560.8152862,32824,22.0
1666045872.750192,33701,22.0
1666045908.2708173,33803,70.0
1666045926.5335686,33864,20.0
1666046383.144592,34951,22.0
1666046389.4065278,34967,22.0
1666046447.937653,35140,22.0
1666046477.8329449,35217,22.0
1666046568.9256165,35477,22.0
1666046594.7257981,35551,22.0
1666046652.080125,35704,22.0
1666046731.3208745,35913,70.0
1666047020.250822,36694,22.0
1666047082.8615968,36891,50.0
1666047119.6046302,36996,22.0
1666047146.8147688,37065,22.0
1666047187.9206202,37182,22.0
1666047378.4031324,37674,22.0
1666047403.6965244,37749,22.0
1666047651.1252122,38386,22.0
1666047651.340457,38387,22.0
1666047658.5148351,38408,71.0
1666047819.6665137,38805,22.0
1666047831.652429,38839,73.0
1666047906.5514116,39025,22.0
1666048117.9972517,39588,22.0
1666048172.9591253,39712,22.0
1666048333.7286425,40110,43.0
1666048373.2308803,40236,22.0
1666048379.244023,40249,22.0
1666048406.7442098,40332,22.0
1666048436.8543744,40416,22.0
1666048480.210864,40540,53.0
1666048507.052122,40617,50.0
1666048625.6584966,40942,22.0
1666048779.1483498,41374,22.0
1666048813.0371773,41473,52.0
1666048999.001619,41968,22.0
1666049014.102501,42012,20.0
1666049058.0653844,42131,22.0
1666049188.7480984,42461,22.0
1666049219.3130708,42535,22.0
1666049338.8567593,42855,20.0
1666049445.7595575,43138,22.0
1666049479.074528,43231,50.0
1666049828.3331974,44255,22.0
1666049839.6193118,44283,70.0
1666049859.9617586,44349,54.0
1666049895.46429,44463,22.0
1666049912.5316622,44522,22.0
1666049977.9637125,44711,165.0
1666049982.426424,44724,22.0
1666049983.6574645,44730,20.0
1666049996.5989017,44761,97.0
1666050082.2037487,44976,22.0
1666050660.3385234,46492,20.0
1666050798.2361875,46890,22.0
1666050856.3573108,47063,22.0
1666050857.02378,47067,20.0
1666050861.5541046,47083,22.0
1666050895.6723857,47178,22.0
1666050943.2223945,47304,97.0
1666051057.0461595,47625,22.0
1666051192.2290194,47999,22.0
1666051259.6492298,48189,22.0
1666051280.451738,48247,22.0
1666051383.2574127,48510,22.0
1666051459.3540125,48717,22.0
1666051622.7003617,49165,22.0
1666051675.5484254,49314,22.0
1666051733.9014692,49483,22.0
1666051820.6647172,49752,22.0
1666052007.3274167,50261,22.0
1666052150.915734,50639,73.0
1666052175.042721,50697,22.0
1666052577.4093494,51797,22.0
1666052629.9023705,51936,97.0
1666052642.9400992,51971,22.0
1666052658.1343484,52013,70.0
1666052743.4596956,52229,71.0
1666052754.319701,52263,95.0
1666052793.0012503,52352,22.0
1666052796.131431,52364,22.0
1666052807.029417,52399,20.0
1666053015.7532399,52967,22.0
1666053066.022776,53082,22.0
1666053285.1277506,53623,22.0
1666053450.4456968,54041,22.0
1666053623.3364851,54458,22.0
1666053674.0533874,54592,70.0
1666053743.4185019,54766,22.0
1666053861.6977656,55079,22.0
1666053888.8467655,55148,95.0
1666053975.727175,55367,20.0
1666054018.6325376,55499,22.0
1666054058.298358,55586,22.0
1666054073.1089861,55629,73.0
1666054105.101471,55718,22.0
1666054228.647963,55982,20.0
1666054411.2608292,56481,22.0
1666054571.8408,56932,22.0
1666054578.5568817,56959,22.0
1666054760.8203907,57451,22.0
1666054963.2298288,57944,20.0
1666055061.6526058,58170,74.0
1666055164.9596815,58405,22.0
1666055259.176638,58615,20.0
1666055280.7982938,58655,22.0
1666055382.8418832,58865,22.0
1666055466.8341823,59057,50.0
1666055703.0562823,59553,70.0
1666055899.6150627,60001,97.0
1666056052.7076771,60280,22.0
1666056127.5296721,60431,97.0
1666056388.951175,60958,22.0
1666056585.9952753,61398,22.0
1666056751.442041,61742,22.0
1666056824.8357546,61904,22.0
1666056854.7124562,61990,22.0
1666056885.0597017,62052,70.0
1666057035.825443,62344,73.0
1666057056.6608768,62386,22.0
1666057596.451029,63568,22.0
1666057616.9112625,63622,22.0
1666057720.0169106,63905,22.0
1666057794.8185737,64091,50.0
1666058123.6416667,64894,22.0
1666058138.115886,64928,53.0
1666058348.1123924,65417,22.0
1666058358.141182,65445,54.0
1666058478.5001724,65722,20.0
1666058525.002348,65841,50.0
1666058534.7427394,65858,53.0
1666058572.0774424,65933,70.0
1666058583.271151,65956,165.0
1666058707.8109345,66230,71.0
1666058729.9214718,66292,22.0
1666058885.9943588,66652,70.0
1666058895.7119296,66664,73.0
1666058902.550615,66680,43.0
1666058932.0071015,66742,70.0
1666059188.2144396,67281,22.0
1666059315.695794,67511,22.0
1666059480.9454021,67834,122.0
1666059501.3730092,67898,22.0
1666059551.9483855,67994,53.0
1666059644.2339478,68188,74.0
1666059770.0580924,68438,22.0
1666059864.910556,68587,22.0
1666059876.362793,68619,22.0
1666059968.862138,68826,22.0
1666060077.5367079,69066,22.0
1666060262.918941,69460,22.0
1666060292.939573,69529,22.0
1666060337.6199825,69640,74.0
1666060591.4507847,70195,22.0
1666060661.854478,70360,22.0
1666060762.1503325,70588,71.0
1666060896.5495243,70875,22.0
1666060996.5574431,71081,50.0
1666061027.2327662,71159,22.0
1666061048.876345,71206,50.0
1666061075.799676,71256,97.0
1666061271.656941,71694,22.0
1666061579.9470425,72289,22.0
1666061729.2095108,72550,50.0
1666062099.8451266,73204,22.0
1666062246.715266,73453,22.0
1666062515.9135635,73922,50.0
1666062684.7400858,74192,52.0
1666063027.45339,74756,50.0
1666063204.594766,75005,78.0
1666063276.0390143,75110,73.0
1666063298.8051386,75146,50.0
1666063333.96542,75205,43.0
1666063511.3072765,75442,70.0
1666063552.1499064,75497,155.0
1666063600.0015864,75565,43.0
1666064069.7134044,76219,72.0
1666064623.4385405,77012,52.0
1666065018.702622,77609,116.0
1666065222.7228286,77950,53.0
1666065323.107519,78089,120.0
1666065405.6474638,78229,170.0
1666065522.660728,78423,53.0
1666065531.5543017,78435,101.0
1666065935.1045825,79060,73.0
1666066026.956841,79178,70.0
1666066058.8445072,79230,43.0
1666066268.910968,79554,73.0
1666066484.9945107,79865,74.0
1666066878.1214988,80473,95.0
1666066891.4342694,80493,52.0
1666067681.4686127,81615,78.0
1666067762.922296,81721,50.0
1666068306.7324216,82482,70.0
1666068765.9268136,83176,50.0
1666068868.5193086,83324,71.0
1666069240.0989475,83795,80.0
1666069329.8785436,83904,121.0
1666069607.7468116,84281,102.0
1666069992.9676228,84858,83.0
1666070559.937973,85605,78.0
1666070674.6965322,85784,100.0
1666071032.2442737,86222,52.0
1666071184.841365,86402,84.0
1666071200.1276333,86421,83.0
1666071381.7484076,86658,197.0
1666071571.9118762,86894,22.0
1666071607.715268,86939,121.0
1666071824.6005883,87321,50.0
1666072097.2279055,87688,71.0
1666072179.6148877,87794,134.0
1666072265.9197478,87909,189.0
1666072499.9632082,88224,86.0
1666072747.5067565,88557,50.0
1666072965.3695302,88832,52.0
1666073693.4071672,89753,118.0
1666073936.6349251,90044,22.0
1666074019.115703,90141,50.0
1666074038.1130562,90172,48.0
1666074546.3094988,90806,130.0
1666074560.4073834,90822,82.0
1666074619.9561267,90900,91.0
1666074988.8432767,91420,22.0
1666075226.9533293,91737,71.0
1666075312.2033844,91850,174.0
1666075641.5506175,92253,71.0
1666075650.13602,92266,22.0
1666076031.5086367,92751,69.0
1666076865.960968,93759,52.0
1666076872.2743456,93767,52.0
1666077089.3645372,94005,43.0
1666077096.8570943,94013,50.0
1666077240.2564535,94165,71.0
1666077521.3596067,94471,130.0
1666077903.1343148,94873,102.0
1666078114.2105932,95084,68.0
1666078274.2023103,95237,50.0
1666078827.3360448,95778,172.0
1666081653.815949,98645,78.0
1666082020.8089435,99068,131.0
1666082304.6965055,99341,68.0
1666082383.0410087,99420,52.0
1666083338.9967275,100240,45.0
1666083482.6522784,100359,201.0
1666083850.763743,100658,193.0
1666084036.1523046,100796,199.0
1666084226.8749943,100934,170.0
1666084440.9305272,101100,43.0
1666084534.5529552,101175,197.0
1666084719.5300298,101315,45.0
