Wall time,Step,Value
1666034525.137409,244,0.0
1666034598.317566,465,0.0
1666034661.6185796,658,3.0
1666034810.2011747,1132,2.0
1666035069.942539,1940,0.0
1666035076.1302884,1960,0.0
1666035320.461642,2693,0.0
1666035327.0357227,2717,0.0
1666035502.4068277,3265,0.0
1666035774.2054648,4121,1.0
1666035790.8210685,4181,0.0
1666036134.343368,5262,1.0
1666036142.3397691,5295,0.0
1666036161.5005043,5362,0.0
1666036194.550231,5454,1.0
1666036307.2289543,5832,0.0
1666036317.7223291,5866,0.0
1666036351.3376575,5981,0.0
1666036356.2590008,5997,1.0
1666036372.6321414,6053,1.0
1666036444.9234076,6279,0.0
1666036461.2140586,6334,0.0
1666036586.506314,6730,0.0
1666036622.2284553,6850,0.0
1666036666.7148137,6991,2.0
1666036812.5018828,7436,0.0
1666036826.0993748,7464,1.0
1666036903.9513254,7644,1.0
1666036937.8455088,7730,1.0
1666037134.6549134,8291,0.0
1666037223.2294314,8548,0.0
1666037225.7258332,8554,2.0
1666037269.0280156,8694,0.0
1666037287.3131676,8752,0.0
1666037423.8014286,9152,0.0
1666037457.8340218,9252,0.0
1666037468.540805,9291,0.0
1666037480.348129,9327,1.0
1666037600.9168856,9712,0.0
1666037613.0076303,9753,0.0
1666037642.1308758,9837,1.0
1666037658.622765,9894,0.0
1666037667.254274,9917,1.0
1666037677.957959,9949,2.0
1666037687.3269103,9979,0.0
1666037717.897657,10063,0.0
1666037734.3042707,10121,0.0
1666037757.9320333,10191,0.0
1666037832.9574907,10445,1.0
1666037851.5169032,10518,0.0
1666037887.7388966,10645,0.0
1666038015.916076,11023,1.0
1666038053.19945,11118,0.0
1666038275.1659625,11819,2.0
1666038289.0098984,11867,0.0
1666038338.2917714,12027,0.0
1666038352.5308568,12076,1.0
1666038437.1408691,12354,0.0
1666038472.0523381,12476,0.0
1666038606.8068838,12905,0.0
1666038737.913598,13304,0.0
1666038760.7418773,13388,0.0
1666038802.4629812,13522,0.0
1666038843.0506308,13642,0.0
1666038893.877986,13802,0.0
1666038907.54941,13849,0.0
1666038955.036247,13971,0.0
1666039193.645986,14645,0.0
1666039260.667298,14851,0.0
1666039327.7291272,15065,0.0
1666039435.0260935,15371,0.0
1666039520.8621569,15610,0.0
1666039753.5402315,16241,1.0
1666039966.4709575,16866,0.0
1666039972.0719168,16883,1.0
1666039979.1327279,16907,1.0
1666039993.1506474,16947,0.0
1666040412.3612964,18121,0.0
1666040414.616019,18129,0.0
1666040416.797847,18137,0.0
1666040545.6920798,18481,1.0
1666040642.333543,18759,0.0
1666040644.4510367,18765,0.0
1666040656.1038713,18795,0.0
1666040795.4031942,19209,0.0
1666040829.8340805,19319,0.0
1666040849.596393,19377,0.0
1666040890.301917,19501,2.0
1666040908.568969,19546,0.0
1666040932.5074878,19617,1.0
1666041291.218858,20618,0.0
1666041301.3591511,20646,0.0
1666041372.913723,20841,0.0
1666041416.0104663,20968,0.0
1666041439.4239,21036,0.0
1666041517.3482323,21267,0.0
1666041817.1560051,22162,0.0
1666041993.2104232,22702,0.0
1666042252.7435408,23500,1.0
1666042596.0604262,24469,0.0
1666042686.947309,24758,0.0
1666042713.2340348,24828,0.0
1666042746.6467657,24938,0.0
1666042764.3511767,24991,0.0
1666042911.4497657,25444,0.0
1666042986.7038267,25649,0.0
1666043081.803185,25929,0.0
1666043328.4119759,26646,0.0
1666043554.5123818,27308,0.0
1666043735.7497945,27833,0.0
1666043757.3959,27894,0.0
1666043798.1241603,28006,2.0
1666043831.435836,28102,0.0
1666044078.7011583,28794,0.0
1666044258.8004959,29310,0.0
1666044328.5390968,29490,0.0
1666044354.3577766,29565,0.0
1666044379.714094,29636,1.0
1666044396.8374457,29677,0.0
1666044460.0864701,29831,0.0
1666044539.0518055,30055,1.0
1666044548.4391477,30080,1.0
1666044626.3252225,30300,0.0
1666044858.624892,30959,0.0
1666044860.8968964,30967,0.0
1666045023.552791,31376,2.0
1666045038.006015,31410,1.0
1666045128.0022376,31660,1.0
1666045236.553407,31953,0.0
1666045246.3717034,31976,0.0
1666045262.337283,32014,1.0
1666045556.1585948,32811,0.0
1666045560.8152227,32824,0.0
1666045872.750151,33701,0.0
1666045908.270753,33803,1.0
1666045926.5335226,33864,0.0
1666046383.1445398,34951,0.0
1666046389.4064772,34967,0.0
1666046447.9376132,35140,0.0
1666046477.832891,35217,0.0
1666046568.9255557,35477,0.0
1666046594.725753,35551,0.0
1666046652.080084,35704,0.0
1666046731.320826,35913,1.0
1666047020.2507706,36694,0.0
1666047082.8615472,36891,1.0
1666047119.6045215,36996,0.0
1666047146.8146863,37065,0.0
1666047187.9205654,37182,0.0
1666047378.4030116,37674,0.0
1666047403.6963923,37749,0.0
1666047651.1251485,38386,0.0
1666047651.340406,38387,0.0
1666047658.514775,38408,1.0
1666047819.6664755,38805,0.0
1666047831.6523764,38839,1.0
1666047906.5513546,39025,0.0
1666048117.997167,39588,0.0
1666048172.959086,39712,0.0
1666048333.7285671,40110,1.0
1666048373.2308273,40236,0.0
1666048379.243948,40249,0.0
1666048406.7441523,40332,0.0
1666048436.8543174,40416,0.0
1666048480.2107766,40540,1.0
1666048507.0520608,40617,1.0
1666048625.658425,40942,0.0
1666048779.148301,41374,0.0
1666048813.037121,41473,1.0
1666048999.0014982,41968,0.0
1666049014.1023777,42012,0.0
1666049058.065334,42131,0.0
1666049188.7480485,42461,0.0
1666049219.312989,42535,0.0
1666049338.8566697,42855,0.0
1666049445.7595174,43138,0.0
1666049479.0744908,43231,1.0
1666049828.3331432,44255,0.0
1666049839.6192596,44283,1.0
