Wall time,Step,Value
1665899207.049625,18,759.0
1665899454.3622437,47,950.0
1665899580.4433076,62,758.0
1665899801.9584022,89,991.0
1665899920.7535765,103,941.0
1665899946.3420742,107,756.0
1665900108.2291212,128,868.0
1665900455.5244062,172,1190.0
1665901007.417329,244,876.0
1665901115.7170017,259,922.0
1665901298.946375,282,1144.0
1665902115.6475558,386,943.0
1665902245.6443865,402,821.0
1665902347.1475592,415,860.0
1665902507.4478505,437,786.0
1665902721.2269123,465,819.0
1665902853.3369637,481,957.0
1665903064.0512583,510,1080.0
1665903245.4228342,533,917.0
1665903276.9595296,538,834.0
1665903290.6548707,540,758.0
1665903414.5298166,556,879.0
1665903714.4432056,596,993.0
1665904032.6229017,637,758.0
1665904082.3394778,643,838.0
1665904187.1568727,658,865.0
1665904318.2200606,675,820.0
1665904986.523722,764,957.0
1665905269.456247,804,893.0
1665905723.4082303,866,1002.0
1665905871.5422034,886,787.0
1665906878.543974,1015,912.0
1665906958.2233183,1026,773.0
1665907038.7127237,1037,782.0
1665907319.7742982,1071,815.0
1665907649.1263075,1111,867.0
1665907764.9269621,1125,933.0
1665907829.0509856,1132,888.0
1665907988.9517796,1152,876.0
1665908083.13777,1164,1080.0
1665908186.9449248,1176,1515.0
1665908255.6306458,1184,788.0
1665908540.3133447,1218,1147.0
1665908847.5265114,1252,1201.0
1665908859.9386365,1254,804.0
1665908964.6397848,1267,941.0
1665909001.233611,1271,802.0
1665909866.86043,1376,819.0
1665910206.7400165,1417,898.0
1665910536.7394817,1457,1020.0
1665910544.0531056,1458,880.0
1665910870.2455976,1494,1093.0
1665910999.1638358,1510,1046.0
1665911034.859196,1513,1088.0
1665911333.8312693,1548,990.0
1665911366.1706367,1551,821.0
1665911486.5524416,1565,1343.0
1665912029.4646654,1627,761.0
1665912101.734501,1635,1097.0
1665912434.309863,1670,1218.0
1665912747.426265,1702,1330.0
1665912842.339408,1711,991.0
1665914190.336749,1847,1091.0
1665914713.1097665,1899,882.0
1665914831.4402795,1909,1484.0
1665915191.619694,1940,1317.0
1665915437.1573312,1960,1473.0
1665915464.8239963,1961,896.0
1665916915.0440006,2070,1626.0
1665917023.2414768,2079,1220.0
1665917168.3696284,2089,1862.0
1665918770.7403462,2209,1170.0
1665920490.4099648,2319,1534.0
1665921113.2426622,2359,1968.0
1665922468.8477745,2436,1966.0
1665922580.3197596,2441,2631.0
1665922826.213377,2454,2644.0
1665922981.1256037,2462,2325.0
1665923038.0101852,2465,2252.0
1665923829.2316954,2503,2555.0
1665924160.5448155,2517,2677.0
1665925540.4507568,2577,2673.0
1665925562.4429862,2578,2755.0
1665926016.415211,2599,1372.0
1665926619.5560932,2627,2347.0
1665926822.7144034,2635,3633.0
1665927022.5610359,2643,2276.0
1665927925.3428586,2684,1997.0
1665928103.4314086,2693,1856.0
1665928495.7349966,2708,3971.0
1665928727.708768,2717,2190.0
1665929647.0299003,2753,2441.0
1665929675.3208761,2754,3756.0
1665930023.8188922,2768,2118.0
1665930437.4660552,2785,3347.0
1665931122.1387808,2812,2669.0
1665931921.9097571,2844,2782.0
1665932360.6155815,2861,3168.0
1665935367.9131029,2973,3319.0
1665938647.0303035,3083,3862.0
1665938667.1398304,3084,2746.0
1665939267.116884,3104,3469.0
1665939296.0292099,3105,3830.0
1665939710.3421416,3120,2593.0
1665940536.0311441,3145,3305.0
1665942248.845075,3199,2491.0
1665942767.709974,3217,2950.0
1665943501.049345,3241,3673.0
1665944236.3157177,3265,3871.0
1665944307.5313323,3268,2708.0
1665946969.7430174,3356,3708.0
1665948446.0368197,3404,3291.0
1665950194.2645867,3461,3152.0
1665950856.2574139,3483,3436.0
1665951143.845994,3491,5273.0
1665951383.6193852,3500,3185.0
1665952217.8396282,3526,3261.0
1665953360.3401062,3566,3109.0
1665953434.732153,3569,4874.0
1665954286.832956,3600,2519.0
1665954745.226426,3616,3211.0
1665955806.9121203,3654,3014.0
1665955866.2355363,3657,2342.0
1665956011.5524178,3661,1949.0
1665956191.2089756,3668,2512.0
1665956310.8274748,3671,3581.0
1665956802.8483603,3690,1952.0
1665957433.4136286,3712,1726.0
1665959271.322947,3782,2718.0
1665961154.0405788,3848,3641.0
1665962820.1466255,3902,3165.0
1665963213.3508792,3915,3911.0
1665963783.0471764,3933,2767.0
1665965077.944108,3975,3473.0
1665966242.1419737,4012,3726.0
1665966577.044723,4023,3042.0
1665968510.7090552,4084,2744.0
1665969275.6453385,4109,4068.0
1665969673.0218103,4121,3275.0
1665969752.4103358,4124,3179.0
