Wall time,Step,Value
1665899207.0495734,18,-21.0
1665899454.362193,47,-18.0
1665899580.4432652,62,-20.0
1665899801.958356,89,-20.0
1665899920.7535253,103,-20.0
1665899946.3420289,107,-20.0
1665900108.2290761,128,-19.0
1665900455.524353,172,-18.0
1665901007.4172828,244,-20.0
1665901115.716956,259,-19.0
1665901298.9463265,282,-18.0
1665902115.6475039,386,-21.0
1665902245.644334,402,-21.0
1665902347.1475132,415,-20.0
1665902507.4477968,437,-20.0
1665902721.2268615,465,-20.0
1665902853.336909,481,-19.0
1665903064.051213,510,-19.0
1665903245.422779,533,-19.0
1665903276.9594617,538,-19.0
1665903290.6547754,540,-20.0
1665903414.529771,556,-21.0
1665903714.4431615,596,-19.0
1665904032.62285,637,-20.0
1665904082.3394315,643,-20.0
1665904187.156826,658,-20.0
1665904318.2200089,675,-20.0
1665904986.5236707,764,-20.0
1665905269.456198,804,-19.0
1665905723.408052,866,-19.0
1665905871.5421574,886,-21.0
1665906878.543927,1015,-19.0
1665906958.2232633,1026,-20.0
1665907038.7126763,1037,-20.0
1665907319.774258,1071,-20.0
1665907649.1262531,1111,-20.0
1665907764.9269142,1125,-18.0
1665907829.0509338,1132,-19.0
1665907988.9517355,1152,-20.0
1665908083.1377175,1164,-18.0
1665908186.94487,1176,-15.0
1665908255.6305945,1184,-21.0
1665908540.3132882,1218,-18.0
1665908847.5264575,1252,-19.0
1665908859.9385872,1254,-21.0
1665908964.6397305,1267,-20.0
1665909001.2335625,1271,-20.0
1665909866.8603761,1376,-20.0
1665910206.7399647,1417,-20.0
1665910536.7394364,1457,-18.0
1665910544.0530636,1458,-20.0
1665910870.2455513,1494,-18.0
1665910999.1637895,1510,-21.0
1665911034.8591459,1513,-17.0
1665911333.8312097,1548,-18.0
1665911366.17058,1551,-20.0
1665911486.552397,1565,-15.0
1665912029.4646223,1627,-20.0
1665912101.7344458,1635,-17.0
1665912434.3098192,1670,-18.0
1665912747.4262125,1702,-18.0
1665912842.3393543,1711,-19.0
1665914190.3366964,1847,-19.0
1665914713.1097136,1899,-20.0
1665914831.4402251,1909,-18.0
1665915191.6196325,1940,-19.0
1665915437.157281,1960,-19.0
1665915464.8239386,1961,-20.0
1665916915.0439475,2070,-19.0
1665917023.241427,2079,-20.0
1665917168.3695753,2089,-17.0
1665918770.7402973,2209,-20.0
1665920490.4099119,2319,-20.0
1665921113.2426162,2359,-20.0
1665922468.8477225,2436,-13.0
1665922580.3197103,2441,-13.0
1665922826.2133245,2454,-12.0
1665922981.1255505,2462,-18.0
1665923038.0101292,2465,-17.0
1665923829.2316394,2503,-13.0
1665924160.54476,2517,-12.0
1665925540.4507017,2577,-10.0
1665925562.4429405,2578,-20.0
1665926016.4151618,2599,-19.0
1665926619.5560262,2627,15.0
1665926822.7143512,2635,3.0
1665927022.5609853,2643,-15.0
1665927925.342806,2684,-17.0
1665928103.4313602,2693,-18.0
1665928495.7349393,2708,-10.0
1665928727.7087169,2717,-16.0
1665929647.029855,2753,-14.0
1665929675.3208215,2754,-9.0
1665930023.818844,2768,-19.0
1665930437.4659996,2785,-10.0
1665931122.1387312,2812,-16.0
1665931921.9097047,2844,-10.0
1665932360.6155248,2861,-7.0
1665935367.9130466,2973,-11.0
1665938647.0302458,3083,-5.0
1665938667.1397724,3084,-15.0
1665939267.1168346,3104,-8.0
1665939296.0291536,3105,3.0
1665939710.34209,3120,-11.0
1665940536.0310876,3145,-13.0
1665942248.8450282,3199,-16.0
1665942767.709924,3217,-14.0
1665943501.049294,3241,-9.0
1665944236.3156636,3265,-7.0
1665944307.5312848,3268,-14.0
1665946969.7429686,3356,-4.0
1665948446.0367625,3404,-14.0
1665950194.2645297,3461,-17.0
1665950856.257365,3483,-4.0
1665951143.8459432,3491,-2.0
1665951383.619336,3500,-12.0
1665952217.8395782,3526,-8.0
1665953360.3400493,3566,-13.0
1665953434.7320993,3569,-1.0
1665954286.8329103,3600,-12.0
1665954745.2263658,3616,-4.0
1665955806.912071,3654,-3.0
1665955866.23548,3657,-11.0
1665956011.552368,3661,-18.0
1665956191.2089257,3668,-13.0
1665956310.8274224,3671,8.0
1665956802.8483152,3690,-17.0
1665957433.4135764,3712,-18.0
1665959271.3228898,3782,-8.0
1665961154.0405228,3848,5.0
1665962820.1465702,3902,6.0
1665963213.3508224,3915,7.0
1665963783.0471253,3933,9.0
1665965077.9440544,3975,-4.0
1665966242.1419232,4012,8.0
1665966577.044673,4023,4.0
1665968510.7089996,4084,13.0
1665969275.6452823,4109,7.0
1665969673.0217626,4121,-5.0
1665969752.4102838,4124,-5.0
1665970433.0379694,4146,1.0
1665971552.52648,4181,11.0
1665971879.9250846,4192,1.0
1665972889.1514473,4227,12.0
1665973806.7577634,4257,4.0
1665975733.7086067,4318,10.0
1665976032.2609587,4328,4.0
1665979995.2480383,4454,2.0
1665982572.2608907,4535,5.0
1665982665.5558398,4539,3.0
1665983536.7695098,4564,5.0
1665984962.3105712,4612,1.0
1665986042.9434273,4649,-7.0
1665987297.047747,4690,-2.0
1665987395.241587,4692,9.0
1665987551.7242143,4698,6.0
1665987830.444772,4707,2.0
1665988544.0687814,4730,9.0
1665990022.4277742,4777,-6.0
1665991742.1197314,4832,12.0
1665991820.5103824,4835,7.0
1665991848.2635088,4836,3.0
1665992102.114772,4844,12.0
1665993266.8429809,4882,12.0
1665994033.2586002,4910,8.0
1665995128.0154796,4949,4.0
1665995934.0350184,4980,10.0
1665998606.8506525,5079,9.0
1665998880.450679,5088,12.0
1665998940.6330082,5090,3.0
1666000114.8367443,5132,11.0
1666000208.2586873,5136,9.0
1666000634.1389182,5151,6.0
1666000742.2387455,5155,15.0
1666001575.640033,5187,-1.0
1666001958.051141,5200,6.0
1666002680.6710992,5225,3.0
1666003026.0243218,5238,5.0
1666003455.4308374,5253,3.0
1666003694.4445007,5262,16.0
1666004594.7153072,5295,16.0
1666005226.0486617,5319,15.0
1666005346.437729,5322,11.0
1666006454.1411145,5362,16.0
1666006623.414475,5370,1.0
1666007540.2102146,5403,2.0
1666008788.659054,5445,11.0
1666009055.50853,5454,1.0
1666010555.8085186,5509,14.0
1666015039.958561,5667,3.0
1666016783.9417694,5730,10.0
1666017541.8417387,5758,13.0
1666018222.9622715,5781,12.0
1666019660.139644,5832,17.0
1666020612.4479303,5866,9.0
1666020981.331909,5879,0.0
1666023064.5541332,5956,7.0
1666023779.9231668,5981,8.0
1666024204.9474533,5997,13.0
1666024522.438995,6009,10.0
1666025675.9585176,6053,8.0
1666027089.4575274,6111,9.0
1666027765.6436095,6138,15.0
1666027888.911802,6142,18.0
1666030065.6325688,6225,13.0
1666030561.1420593,6243,8.0
1666031444.323184,6279,10.0
1666032817.6451046,6332,8.0
1666032870.4375281,6334,7.0
1666033496.053181,6358,13.0
1666033516.6660068,6359,14.0
1666033665.1461124,6364,13.0
1666033777.5259564,6369,15.0
1666037830.0254369,6528,11.0
1666038483.0275605,6551,3.0
1666038821.0609944,6564,8.0
1666038941.3211694,6569,8.0
1666039398.6217253,6585,3.0
1666039521.8677564,6590,13.0
1666039770.8608212,6599,15.0
1666040196.2444046,6615,14.0
1666041701.0542386,6673,12.0
1666042851.9332838,6720,18.0
1666043138.4525912,6730,17.0
1666043637.3563755,6750,14.0
1666044999.8644578,6802,16.0
1666046032.515263,6842,13.0
1666046201.573881,6850,13.0
1666047913.933419,6916,7.0
1666047978.5646641,6919,11.0
1666048266.7619224,6930,19.0
1666049810.320265,6991,5.0
1666049918.563783,6996,15.0
1666049966.7473905,6998,7.0
1666051441.5375743,7054,13.0
1666053019.6177502,7117,9.0
1666053067.2319505,7120,20.0
1666053241.763019,7126,14.0
1666054232.9644825,7164,18.0
1666055376.4306772,7207,8.0
1666056553.00874,7253,15.0
1666057072.22226,7274,12.0
1666057982.732755,7308,9.0
1666058748.7631679,7338,10.0
1666059141.9369152,7353,15.0
1666059506.521417,7367,9.0
1666061403.165527,7436,13.0
1666062113.9274733,7464,12.0
1666062194.9223917,7468,13.0
1666062240.8568697,7470,5.0
1666062601.9394474,7482,10.0
1666063232.241617,7506,18.0
1666063495.6390967,7518,16.0
1666063848.216543,7532,13.0
1666064101.8140945,7543,14.0
1666065335.4097733,7593,8.0
1666065607.9158514,7604,14.0
1666066408.8735087,7638,15.0
1666066565.7292986,7644,18.0
1666066947.1091437,7660,13.0
1666068568.7132747,7727,18.0
1666068630.6542594,7730,6.0
1666069273.714431,7756,9.0
1666070222.5437188,7794,14.0
1666070240.716099,7795,15.0
1666070912.0417552,7821,10.0
1666071285.4173334,7838,15.0
1666071729.4524467,7855,16.0
1666072734.5146856,7895,16.0
1666072883.062586,7901,10.0
1666073552.4474037,7929,13.0
1666074972.1158595,7986,11.0
1666076514.0151544,8046,3.0
1666077285.7482834,8078,12.0
1666078413.6592689,8122,12.0
1666078941.754416,8144,13.0
1666080702.6630566,8216,8.0
1666081030.422046,8229,6.0
1666082254.7432985,8277,14.0
1666082641.4443676,8291,12.0
1666082752.440971,8296,0.0
1666084708.4105756,8377,14.0
1666085181.9567852,8397,15.0
1666087515.7477837,8491,16.0
1666088887.544866,8548,13.0
1666089070.127695,8554,14.0
1666089309.4353094,8563,9.0
1666090701.0375848,8618,13.0
1666091774.9468503,8659,6.0
1666091888.0430636,8663,13.0
1666092624.2729375,8694,12.0
1666093314.8669238,8724,15.0
1666094014.7325609,8752,9.0
1666094573.1624718,8776,19.0
1666094612.422743,8778,13.0
1666095737.0433123,8823,17.0
1666095975.5449455,8833,16.0
1666096718.7153387,8865,16.0
1666096813.3094254,8870,19.0
1666096988.1270378,8877,8.0
1666097916.936552,8917,17.0
1666098043.9320095,8921,13.0
1666099561.9250395,8985,18.0
1666100062.5494838,9006,15.0
1666100698.9681368,9033,10.0
1666101263.9441,9058,13.0
